Carimbo de data/hora,Gênero,Frio,Temperatura Considerada,Chuva,Distância,Tempo Gasto,Selecionar Turno,Impacto do Turno,interesse,Cansaço,Ambiente,Compromissos
2025/06/24 7:28:56 AM GMT-3,Masculino,3,Abaixo de 5 °C,3,2,Maior que 1 hora e 30 minutos,Noite,1,3,3,1,3
2025/06/24 9:47:27 AM GMT-3,Feminino,0,,0,1,,Manhã;Tarde,0,2,4,0,0
2025/06/24 10:19:20 AM GMT-3,Feminino,0,,0,0,,Noite,0,1,0,0,1
2025/06/24 1:06:25 PM GMT-3,Feminino,5,Abaixo de 5 °C,5,3,Menor que 1 hora e 30 minutos,Noite,0,0,5,2,5
2025/06/24 1:07:40 PM GMT-3,Feminino,3,Abaixo de 5 °C,5,0,Menor que 10 minutos,Manhã;Tarde,2,1,4,2,5
2025/06/24 1:08:48 PM GMT-3,Feminino,2,Abaixo de 10 °C,5,3,Menor que 1 hora e 30 minutos,Tarde,2,3,4,2,4
2025/06/24 1:10:24 PM GMT-3,Feminino,2,Abaixo de 0 °C,5,5,Maior que 1 hora e 30 minutos,Noite,3,2,4,5,5
2025/06/24 1:11:16 PM GMT-3,Feminino,4,Abaixo de 0 °C,5,3,Menor que 1 hora e 30 minutos,Noite,2,1,4,3,4
2025/06/24 1:12:46 PM GMT-3,Feminino,3,Abaixo de 0 °C,4,0,Menor que 30 minutos,Manhã,4,2,5,2,5
2025/06/24 1:14:32 PM GMT-3,Feminino,5,Abaixo de 10 °C,5,2,Menor que 30 minutos,Manhã,1,1,1,1,3
2025/06/24 1:14:40 PM GMT-3,Feminino,3,Abaixo de 0 °C,5,5,Maior que 1 hora e 30 minutos,Noite,1,3,4,2,5
2025/06/24 1:16:11 PM GMT-3,Masculino,2,Abaixo de 0 °C,5,4,Menor que 1 hora e 30 minutos,Noite,2,0,4,2,5
2025/06/24 1:17:00 PM GMT-3,Feminino,2,Abaixo de 5 °C,4,4,Menor que 1 hora e 30 minutos,Noite,0,0,3,3,3
